img, haspCP,name, importance,mdiCP,purpose, remarks
<img src="../../assets/svgs/materialdesign/svg/window-shutter.svg" height=32 style="margin:0">,<code>F11C</code>,window-shutter,65,0xf111c,control, home control
<img src="../../assets/svgs/materialdesign/svg/window-shutter-alert.svg" height=32 style="margin:0">,<code>F11D</code>,window-shutter-alert,65,0xf111d,control, home control
<img src="../../assets/svgs/materialdesign/svg/window-shutter-open.svg" height=32 style="margin:0">,<code>F11E</code>,window-shutter-open,65,0xf111e,control, home control
<img src="../../assets/svgs/materialdesign/svg/car.svg" height=32 style="margin:0">,<code>E10B</code>,car,60,0xf010b,place, 
<img src="../../assets/svgs/materialdesign/svg/lock.svg" height=32 style="margin:0">,<code>E33E</code>,lock,60,0xf033e,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/lock-open-variant.svg" height=32 style="margin:0">,<code>EFC6</code>,lock-open-variant,60,0xf0fc6,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/outdoor-lamp.svg" height=32 style="margin:0">,<code>F054</code>,outdoor-lamp,60,0xf1054,light,
<img src="../../assets/svgs/materialdesign/svg/robot-vacuum.svg" height=32 style="margin:0">,<code>E70D</code>,robot-vacuum,60,0xf070d,device, home control
<img src="../../assets/svgs/materialdesign/svg/shield-lock.svg" height=32 style="margin:0">,<code>E99D</code>,shield-lock,60,0xf099d,security, 
<img src="../../assets/svgs/materialdesign/svg/air-conditioner.svg" height=32 style="margin:0">,<code>E01B</code>,air-conditioner,55,0xf001b,climate, 
<img src="../../assets/svgs/materialdesign/svg/alert.svg" height=32 style="margin:0">,<code>E026</code>,alert,55,0xf0026,security, sensor display
<img src="../../assets/svgs/materialdesign/svg/bell.svg" height=32 style="margin:0">,<code>E09A</code>,bell,55,0xf009a,device, home control
<img src="../../assets/svgs/materialdesign/svg/key-variant.svg" height=32 style="margin:0">,<code>E30B</code>,key-variant,55,0xf030b,security, 
<img src="../../assets/svgs/materialdesign/svg/leaf.svg" height=32 style="margin:0">,<code>E32A</code>,leaf,55,0xf032a,energy, sensor/eco display
<img src="../../assets/svgs/materialdesign/svg/radiator.svg" height=32 style="margin:0">,<code>E438</code>,radiator,55,0xf0438,climate, home control
<img src="../../assets/svgs/materialdesign/svg/radiator-disabled.svg" height=32 style="margin:0">,<code>EAD7</code>,radiator-disabled,55,0xf0ad7,climate, home control
<img src="../../assets/svgs/materialdesign/svg/shield-home.svg" height=32 style="margin:0">,<code>E68A</code>,shield-home,55,0xf068a,security, 
<img src="../../assets/svgs/materialdesign/svg/skip-next.svg" height=32 style="margin:0">,<code>E4AD</code>,skip-next,55,0xf04ad,sound, home device control
<img src="../../assets/svgs/materialdesign/svg/skip-previous.svg" height=32 style="margin:0">,<code>E4AE</code>,skip-previous,55,0xf04ae,sound, home device control
<img src="../../assets/svgs/materialdesign/svg/television.svg" height=32 style="margin:0">,<code>E502</code>,television,55,0xf0502,device, 
<img src="../../assets/svgs/materialdesign/svg/blinds.svg" height=32 style="margin:0">,<code>E0AC</code>,blinds,50,0xf00ac,control, home control
